股票代码,股票名称,生效日期,失效日期
000750,国海证券,2018-02-01,2018-02-28
000768,中航飞机,2018-02-01,2018-02-28
000776,广发证券,2018-02-01,2018-02-28
000783,长江证券,2018-02-01,2018-02-28
000792,盐湖股份,2018-02-01,2018-02-28
000826,启迪桑德,2018-02-01,2018-02-28
000839,中信国安,2018-02-01,2018-02-28
000858,五粮液,2018-02-01,2018-02-28
000876,新希望,2018-02-01,2018-02-28
000895,双汇发展,2018-02-01,2018-02-28
000898,鞍钢股份,2018-02-01,2018-02-28
000938,紫光股份,2018-02-01,2018-02-28
000959,首钢股份,2018-02-01,2018-02-28
000961,中南建设,2018-02-01,2018-02-28
000963,华东医药,2018-02-01,2018-02-28
000983,西山煤电,2018-02-01,2018-02-28
001979,招商蛇口,2018-02-01,2018-02-28
002007,华兰生物,2018-02-01,2018-02-28
002008,大族激光,2018-02-01,2018-02-28
002024,苏宁易购,2018-02-01,2018-02-28
002027,分众传媒,2018-02-01,2018-02-28
002044,美年健康,2018-02-01,2018-02-28
002065,东华软件,2018-02-01,2018-02-28
002074,国轩高科,2018-02-01,2018-02-28
002081,金螳螂,2018-02-01,2018-02-28
002142,宁波银行,2018-02-01,2018-02-28
002146,荣盛发展,2018-02-01,2018-02-28
002153,石基信息,2018-02-01,2018-02-28
002174,游族网络,2018-02-01,2018-02-28
002202,金风科技,2018-02-01,2018-02-28
002230,科大讯飞,2018-02-01,2018-02-28
002236,大华股份,2018-02-01,2018-02-28
002241,歌尔股份,2018-02-01,2018-02-28
002252,上海莱士,2018-02-01,2018-02-28
002292,奥飞娱乐,2018-02-01,2018-02-28
002294,信立泰,2018-02-01,2018-02-28
002304,洋河股份,2018-02-01,2018-02-28
002310,东方园林,2018-02-01,2018-02-28
002352,顺丰控股,2018-02-01,2018-02-28
002385,大北农,2018-02-01,2018-02-28
002411,必康股份,2018-02-01,2018-02-28
002415,海康威视,2018-02-01,2018-02-28
002424,贵州百灵,2018-02-01,2018-02-28
002426,胜利精密,2018-02-01,2018-02-28
002450,康得新,2018-02-01,2018-02-28
002456,欧菲科技,2018-02-01,2018-02-28
002460,赣锋锂业,2018-02-01,2018-02-28
002465,海格通信,2018-02-01,2018-02-28
002466,天齐锂业,2018-02-01,2018-02-28
002468,申通快递,2018-02-01,2018-02-28
002470,金正大,2018-02-01,2018-02-28
002475,立讯精密,2018-02-01,2018-02-28
002500,山西证券,2018-02-01,2018-02-28
002508,老板电器,2018-02-01,2018-02-28
002555,三七互娱,2018-02-01,2018-02-28
002558,巨人网络,2018-02-01,2018-02-28
002572,索菲亚,2018-02-01,2018-02-28
002594,比亚迪,2018-02-01,2018-02-28
002601,龙蟒佰利,2018-02-01,2018-02-28
002602,世纪华通,2018-02-01,2018-02-28
002608,江苏国信,2018-02-01,2018-02-28
002624,完美世界,2018-02-01,2018-02-28
002673,西部证券,2018-02-01,2018-02-28
002714,牧原股份,2018-02-01,2018-02-28
002736,国信证券,2018-02-01,2018-02-28
002739,万达电影,2018-02-01,2018-02-28
002797,第一创业,2018-02-01,2018-02-28
002831,裕同科技,2018-02-01,2018-02-28
002839,张家港行,2018-02-01,2018-02-28
002841,视源股份,2018-02-01,2018-02-28
300003,乐普医疗,2018-02-01,2018-02-28
300015,爱尔眼科,2018-02-01,2018-02-28
300017,网宿科技,2018-02-01,2018-02-28
300024,机器人,2018-02-01,2018-02-28
300027,华谊兄弟,2018-02-01,2018-02-28
300033,同花顺,2018-02-01,2018-02-28
300059,东方财富,2018-02-01,2018-02-28
300070,碧水源,2018-02-01,2018-02-28
300072,三聚环保,2018-02-01,2018-02-28
300122,智飞生物,2018-02-01,2018-02-28
300124,汇川技术,2018-02-01,2018-02-28
300136,信维通信,2018-02-01,2018-02-28
300144,宋城演艺,2018-02-01,2018-02-28
300251,光线传媒,2018-02-01,2018-02-28
300315,掌趣科技,2018-02-01,2018-02-28
600000,浦发银行,2018-02-01,2018-02-28
600008,首创股份,2018-02-01,2018-02-28
600009,上海机场,2018-02-01,2018-02-28
600010,包钢股份,2018-02-01,2018-02-28
600011,华能国际,2018-02-01,2018-02-28
600015,华夏银行,2018-02-01,2018-02-28
600016,民生银行,2018-02-01,2018-02-28
600018,上港集团,2018-02-01,2018-02-28
600019,宝钢股份,2018-02-01,2018-02-28
600021,上海电力,2018-02-01,2018-02-28
600023,浙能电力,2018-02-01,2018-02-28
600028,中国石化,2018-02-01,2018-02-28
600029,南方航空,2018-02-01,2018-02-28
600030,中信证券,2018-02-01,2018-02-28
600031,三一重工,2018-02-01,2018-02-28
600036,招商银行,2018-02-01,2018-02-28
600038,中直股份,2018-02-01,2018-02-28
600048,保利地产,2018-02-01,2018-02-28
600050,中国联通,2018-02-01,2018-02-28
600061,国投资本,2018-02-01,2018-02-28
